student_id_anon
48
96
12
59
95
18
87
65
24
54
75
4
62
72
78
91
99
50
60
67
63
34
26
9
80
49
84
13
66
61
25
82
1
68
5
53
45
73
43
52
83
44
28
23
58
2
97
39
29
31
17
41
14
79
20
40
19
32
7
21
15
22
56
94
89
98
6
77
92
70
11
10
57
74
33
3
0
90
93
71
69
64
36
27
30
55
51
76
42
86
37
16
8
81
47
35
85
38
88
46
