Spain,1,1,2,57,24,13,57619,37.417,-6.005
Denmark,1,2,2,51,26,20,38052,55.703,12.572
Hungary,1,1,2,40,30,9,65014,47.503,19.098
Finland,0,2,3,54,29,4,59960,59.973,30.221
Germany,2,2,2,79,20,14,75000,48.219,11.625
France,3,3,3,70,24,5,54231,44.438,26.152
Netherlands,0,2,2,36,31,9,65014,47.503,19.098
Russia,1,4,2,69,18,19,38052,55.703,12.572
Sweden,1,2,1,53,22,8,51824,55.826,-4.252
Türki̇ye,0,2,4,61,27,12,68700,40.430,49.920
